timestamp_us,channel_0
126838771,26198
126839932,26164
126841093,26107
126842256,25898
126843422,24897
126844580,23002
126845740,20651
126846903,18150
126848065,15728
126849224,13679
126850392,15799
126851549,23653
126852709,26256
126853870,26268
126855034,26263
126856193,26255
126857355,26222
126858518,26185
126859679,26136
126860839,26023
126862002,25412
126863163,23847
126864324,21690
126865485,19229
126866646,16742
126867809,14442
126868970,12473
126870131,13533
126871293,21226
126872454,26241
126873618,26263
126874778,26265
126875940,26263
126877101,26252
126878262,26236
126879423,26218
126880585,26202
126881746,26174
126882908,26129
126884069,25976
126885231,25094
126886396,23293
126887559,21036
126888717,18580
126889878,17881
126891040,23680
126892201,26221
126893363,26236
126894533,26238
126895684,26269
126896846,26265
126898009,26258
126899169,26252
126900331,26247
126901493,26238
126902654,26224
126903816,26207
126904977,26180
126906138,26136
126907300,26021
126908461,25346
126909622,24257
126910783,25985
126911945,26243
126913108,26262
126914270,26266
126915431,26262
126916591,26257
126917754,26237
126918914,26222
126920076,26202
126921237,26175
126922399,26128
126923560,25993
126924722,25165
126925883,23375
126927047,21116
126928206,18665
126929369,16377
126930533,17899
126931692,24410
126932853,26252
126934013,26262
126935184,26249
126936336,26231
126937499,26203
126938660,26167
126939822,26135
126940984,26064
126942144,25797
126943306,24671
126944469,22741
126945630,20369
126946791,17866
126947952,15464
126949114,13338
126950275,14273
126951436,21653
126952599,26240
126953759,26265
126954921,26265
126956083,26264
126957243,26251
126958407,26236
126959567,26220
126960729,26204
126961890,26176
126963051,26128
126964213,25985
126965374,25143
126966536,23365
126967697,21119
126968860,18654
126970020,17533
126971183,22205
126972344,26225
126973506,26261
126974667,26264
126975832,26259
126976990,26211
126978151,26169
126979313,26127
126980474,26043
126981635,25654
126982799,24349
126983960,22386
126985120,19987
126986283,17478
126987445,15097
126988605,13001
126989766,11877
126990927,16017
126992089,24603
126993250,26259
126994412,26265
126995574,26263
126996735,26259
126997898,26242
126999059,26225
127000220,26209
127001382,26185
127002543,26148
127003706,26062
127004865,25545
127006027,24000
127007188,21864
127008350,19454
127009512,17078
127010673,18768
127011834,25084
127012997,26258
127014157,26263
127015320,26267
127016481,26262
127017642,26242
127018805,26223
127019968,26193
127021127,26147
127022288,26105
127023449,25977
127024611,25213
127025772,23469
127026938,21226
127028097,18780
127029257,16352
127030419,17093
127031580,23865
127032742,26252
127033904,26267
127035064,26264
127036226,26260
127037393,26245
127038549,26221
127039712,26204
127040873,26175
127042034,26122
127043195,25979
127044358,25136
127045518,23314
127046681,21022
127047841,18547
127049003,16092
127050164,15236
127051326,20431
127052487,26189
127053648,26262
127054810,26265
127055972,26263
127057135,26256
127058296,26237
127059457,26218
127060617,26200
127061779,26176
127062940,26129
127064102,25992
127065263,25152
127066425,23371
127067588,21120
127068750,18675
127069913,16896
127071072,20278
127072232,25974
127073399,26232
127074556,26238
127075718,26238
127076883,26228
127078040,26231
127079204,26221
127080363,26197
127081528,26168
127082686,26114
127083849,25916
127085009,24872
127086172,22962
127087332,20640
127088493,18175
127089656,15905
127090816,17443
127091978,24117
127093140,26250
127094301,26262
127095463,26260
127096626,26240
127097787,26105
127098947,25153
127100110,23098
127101271,20736
127102432,18296
127103593,15943
127104754,13763
127105916,11862
127107078,10376
127108239,9349
127109402,8783
127110564,11267
127111725,19787
127112886,26231
127114047,26262
127115210,26249
127116369,26234
127117534,26219
127118693,26196
127119854,26182
127121016,26155
127122178,26113
127123339,26048
127124501,25491
127125663,23889
127126824,21711
127127985,19273
127129147,16787
127130309,15777
127131470,20490
127132631,26158
127133792,26265
127134954,26269
127136119,26267
127137277,26236
127138438,26170
127139600,26070
127140761,25607
127141923,24216
127143084,22229
127144246,19908
127145407,17436
127146569,15061
127147730,12968
127148892,11251
127150053,10548
127151215,14985
127152383,24127
127153541,26261
127154699,26271
127155861,26266
