timestamp_us,channel_0
158900577,1
158901740,866
158902900,4947
158904062,8413
158905224,4078
158906391,-1
158907546,0
158908708,0
158909869,-1
158911031,-1
158912192,0
158913353,0
158914517,-1
158915678,0
158916839,0
158918000,0
158919162,0
158920325,2
158921484,1129
158922645,5469
158923807,10343
158924969,9127
158926130,816
158927293,1
158928455,0
158929616,0
158930776,0
158931938,0
158933099,0
158934261,-1
158935422,-1
158936585,0
158937745,0
158938909,0
158940070,1
158941231,891
158942394,4975
158943554,10313
158944716,11186
158945876,2749
158947038,0
158948199,0
158949361,-1
158950526,-1
158951683,0
158952845,-1
158954008,1
158955168,-1
158956331,1
158957492,0
158958653,1
158959814,1
158960976,351
158962137,3574
158963298,8871
158964460,11858
158965621,5344
158966785,0
158967946,0
158969108,-1
158970269,-1
158971430,0
158972590,-1
158973752,0
158974914,0
158976074,-1
158977236,0
158978398,1
158979559,1
158980721,120
158981884,2583
158983044,7715
158984206,11963
158985369,8073
158986531,135
158987690,-1
158988852,0
158990014,-1
158991174,-1
158992336,0
158993500,-1
158994659,-1
158995820,-1
158996983,0
158998144,0
158999305,1
159000467,2
159001629,1613
159002789,6240
159003952,11363
159005112,10608
159006274,1629
159007435,-1
159008597,0
159009758,-1
159010921,-1
159012083,-1
159013245,-1
159014406,0
159015566,0
159016727,0
159017890,0
159019050,0
159020211,1
159021373,1106
159022535,5415
159023696,11125
159024858,12804
159026021,4466
159027182,0
159028344,0
159029505,-1
159030666,0
159031827,0
159032989,0
159034150,-1
159035313,0
159036473,-2
159037636,0
159038797,0
159039958,1
159041120,389
159042282,3533
159043443,8675
159044604,11377
159045766,4644
159046926,-1
159048090,0
159049249,-1
159050411,-1
159051575,0
159052736,0
159053896,0
159055058,0
159056219,-1
159057382,0
159058542,1
159059703,1
159060864,3
159062026,1496
159063188,5971
159064359,10217
159065516,6938
159066674,46
159067834,0
159068995,-1
159070157,-1
159071320,1
159072490,-2
159073641,0
159074803,0
159075966,-1
159077127,-1
159078288,0
159079451,0
159080612,2
159081773,1254
159082933,5637
159084095,10772
159085257,10329
159086418,1638
159087579,2
159088741,-1
159089902,-1
159091064,-1
159092225,0
159093392,0
159094550,0
159095712,0
159096873,-1
159098032,0
159099194,0
159100357,1
159101518,731
159102679,4545
159103840,9907
159105002,11518
159106165,3524
159107325,0
159108488,-1
159109649,0
159110811,1
159111971,0
159113134,-1
159114295,0
159115456,0
159116617,-1
159117779,0
159118942,1
159120103,1
159121263,189
159122426,3011
159123588,8160
159124748,10188
159125909,2642
159127071,0
159128232,-1
159129397,1
159130555,-1
159131717,0
159132880,-1
159134040,0
159135201,0
159136362,-2
159137528,0
159138686,-1
159139847,0
159141008,0
159142171,608
159143331,4430
159144493,7754
159145654,2916
159146816,0
159147977,0
159149139,0
159150303,-1
159151462,1
159152624,-1
159153785,0
159154946,0
159156112,-2
159157274,-1
159158432,0
159159592,0
159160754,1
159161915,181
159163077,3168
159164238,7713
159165400,7455
159166561,528
159167723,-1
159168884,0
159170047,0
159171300,0
159172369,0
159173532,-2
159174692,-2
159175853,0
159177017,-1
159178178,0
159179338,0
159180501,3
159181662,457
159182822,3955
159183985,9250
159185145,11189
159186307,3577
159187468,0
159188630,0
159189793,-1
159190954,0
159192115,0
159193277,0
159194439,0
159195605,0
159196766,-1
159197921,-1
159199083,1
159200245,1
159201406,160
159202568,2826
159203735,7862
159204893,10865
159206053,4668
159207216,1
159208376,-1
159209537,0
