timestamp_us,channel_0
17735293,13116
17736455,13114
17737617,13115
17738778,13118
17739939,13125
17741101,13130
17742262,13129
17743424,13126
17744587,13126
17745749,13129
17746909,13131
17748070,13131
17749232,13129
17750398,13129
17751554,13126
17752716,13120
17753877,13115
17755038,13113
17756200,13113
17757361,13110
17758523,13112
17759684,13112
17760847,13110
17762008,13105
17763170,13103
17764330,13102
17765492,13105
17766653,13113
17767814,13122
17768976,13125
17770138,13128
17771298,13126
17772460,13120
17773621,13111
17774783,13105
17775948,13105
17777107,13107
17778268,13109
17779430,13114
17780591,13113
17781752,13112
17782913,13111
17784075,13112
17785236,13112
17786402,13113
17787560,13114
17788721,13120
17789884,13124
17791045,13126
17792206,13128
17793367,13133
17794533,13136
17795690,13136
17796851,13138
17798013,13142
17799174,13143
17800335,13143
17801498,13141
17802659,13139
17803820,13142
17804983,13144
17806144,13146
17807306,13150
17808468,13153
17809628,13159
17810789,13160
17811950,13155
17813112,13148
17814273,13137
17815435,13127
17816596,13115
17817757,13108
17818920,13108
17820081,13116
17821242,13129
17822405,13142
17823565,13156
17824726,13162
17825890,13167
17827049,13168
17828212,13163
17829374,13156
17830537,13153
17831695,13160
17832857,13164
17834018,13170
17835179,13171
17836342,13174
17837504,13171
17838666,13171
17839825,13172
17840988,13177
17842149,13187
17843312,13197
17844472,13208
17845634,13215
17846794,13213
17847956,13208
17849117,13200
17850278,13191
17851440,13175
17852603,13161
17853765,13145
17854926,13123
17856086,13102
17857247,13090
17858409,13083
17859575,13075
17860732,13071
17861894,13072
17863056,13075
17864218,13086
17865378,13099
17866544,13115
17867703,13128
17868863,13138
17870024,13145
17871187,13150
17872347,13151
17873509,13149
17874670,13141
17875831,13131
17876994,13120
17878154,13111
17879315,13103
17880477,13097
17881639,13093
17882802,13094
17883963,13101
17885123,13108
17886286,13117
17887446,13121
17888607,13119
17889769,13118
17890930,13117
17892092,13115
17893253,13113
17894414,13108
17895576,13101
17896737,13094
17897899,13090
17899062,13090
17900223,13095
17901386,13097
17902546,13101
17903706,13100
17904868,13100
17906029,13103
17907196,13104
17908353,13103
17909513,13100
17910675,13096
17911838,13099
17912999,13104
17914160,13110
17915321,13116
