timestamp_us,channel_0
40904626,13097
40905787,13091
40906949,13080
40908111,13063
40909272,13037
40910435,13015
40911596,13000
40912758,12995
40913922,13007
40915081,13026
40916241,13048
40917403,13068
40918564,13084
40919725,13106
40920887,13121
40922054,13127
40923210,13127
40924372,13120
40925536,13106
40926695,13090
40927856,13067
40929018,13040
40930180,13015
40931341,12991
40932502,12965
40933663,12952
40934824,12951
40935988,12960
40937147,12978
40938309,13006
40939472,13036
40940633,13061
40941794,13079
40942955,13094
40944117,13103
40945280,13101
40946439,13095
40947601,13082
40948762,13060
40949924,13038
40951087,13013
40952247,12989
40953410,12978
40954571,12982
40955733,13000
40956894,13017
40958056,13038
40959217,13059
40960379,13080
40961540,13094
40962701,13101
40963864,13106
40965023,13103
40966185,13093
40967346,13074
40968508,13054
40969671,13032
40970831,13015
40971992,13008
40973155,13014
40974316,13029
40975477,13046
40976638,13067
40977799,13084
40978961,13102
40980122,13121
40981284,13132
40982445,13140
40983607,13138
40984770,13131
40985930,13122
40987091,13103
40988254,13079
40989415,13051
40990576,13024
40991737,13001
40992899,12989
40994062,12991
40995221,13005
40996384,13029
40997544,13058
40998706,13084
40999869,13105
41001029,13119
41002191,13129
41003353,13133
41004516,13130
41005680,13124
41006837,13119
41007998,13113
41009159,13104
41010322,13093
41011483,13080
41012646,13064
41013806,13054
41014967,13056
41016128,13064
41017290,13080
41018452,13091
41019613,13092
41020774,13088
41021936,13083
41023097,13070
41024260,13053
41025421,13032
41026582,13008
41027743,12981
41028906,12955
41030067,12928
41031229,12915
41032396,12910
41033551,12918
41034711,12943
41035874,12975
41037035,13011
41038196,13048
41039358,13071
41040519,13082
41041681,13084
41042844,13085
41044005,13079
41045170,13070
41046328,13053
41047488,13029
41048650,13000
41049811,12966
41050974,12936
41052134,12919
41053295,12916
41054457,12930
41055618,12950
41056782,12975
41057943,13003
41059103,13029
41060264,13046
41061427,13052
41062588,13055
41063749,13048
41064911,13035
41066072,13017
41067234,12998
41068399,12975
41069556,12951
41070718,12931
41071881,12918
41073043,12913
41074204,12921
41075366,12942
41076526,12971
41077687,12999
41078848,13024
41080010,13046
41081171,13061
41082334,13073
41083494,13081
41084656,13086
41085817,13082
41086980,13072
41088140,13057
41089301,13034
41090463,13007
41091625,12981
41092786,12972
41093947,12975
41095109,12992
41096271,13019
41097431,13052
41098594,13087
41099754,13123
41100917,13154
41102078,13183
41103243,13202
41104402,13209
41105563,13202
41106724,13183
41107885,13155
41109047,13120
41110209,13082
41111370,13054
41112536,13036
41113693,13029
41114856,13031
41116017,13044
41117177,13066
41118339,13090
41119501,13114
41120662,13137
41121824,13150
41122984,13153
41124147,13149
41125307,13140
41126468,13132
41127630,13127
41128791,13120
41129955,13112
41131116,13099
41132276,13086
41133438,13072
41134601,13057
41135761,13043
41136922,13036
41138088,13034
41139247,13037
41140406,13047
41141568,13056
41142729,13070
41143891,13088
41145054,13106
41146214,13122
41147375,13134
41148539,13136
41149698,13125
41150860,13109
41152021,13093
41153183,13079
41154344,13074
41155506,13074
41156667,13078
41157828,13082
41158997,13081
41160151,13082
41161313,13082
41162474,13075
41163636,13061
41164797,13041
41165959,13029
41167120,13016
41168282,13001
41169443,12989
41170606,12986
41171766,12988
41172928,12997
41174089,13019
41175251,13048
41176412,13084
41177575,13127
41178735,13173
41179897,13214
41181059,13246
41182219,13263
41183382,13262
41184542,13251
41185704,13231
41186866,13198
41188027,13158
41189189,13114
41190351,13079
41191511,13045
41192675,13020
41193835,13008
41194996,13005
41196159,13018
41197319,13037
41198480,13060
41199642,13086
41200804,13112
41201964,13135
41203128,13154
41204288,13158
41205449,13157
41206611,13141
41207774,13116
41208935,13084
41210095,13052
41211258,13023
41212418,13005
41213580,13000
41214741,13007
41215903,13016
41217063,13026
41218226,13039
41219388,13052
41220548,13066
41221710,13076
41222872,13084
41224032,13090
41225195,13090
41226356,13089
41227518,13085
41228679,13079
41229841,13081
41231002,13090
41232164,13107
41233326,13130
41234488,13164
41235650,13211
41236811,13266
41237972,13320
41239132,13363
41240293,13394
41241456,13411
41242618,13412
41243778,13399
41244940,13374
41246101,13343
41247264,13301
41248424,13250
41249585,13198
41250749,13148
41251908,13108
41253071,13082
41254231,13070
41255398,13068
41256555,13071
41257715,13073
41258878,13074
41260040,13068
41261200,13060
41262361,13051
41263523,13043
41264684,13030
41265847,13009
41267009,12987
41268169,12966
41269332,12948
41270496,12942
41271654,12943
41272815,12958
41273977,12986
41275138,13026
41276301,13071
41277467,13113
41278622,13147
41279784,13170
41280947,13183
41282108,13184
41283268,13178
41284432,13166
41285592,13139
41286753,13098
41287914,13044
41289077,12988
41290238,12950
41291402,12929
41292560,12922
41293721,12940
41294883,12988
41296046,13064
41297205,13157
41298369,13250
41299532,13322
41300692,13369
41301852,13387
41303013,13385
41304176,13362
41305336,13327
41306497,13288
41307659,13252
41308820,13220
41309982,13187
41311144,13152
41312305,13122
41313466,13095
41314629,13079
41315790,13082
41316951,13099
41318118,13123
41319274,13148
