timestamp_us,channel_0
23288125,13056
23289288,13059
23290448,13064
23291609,13070
23292771,13075
23293932,13080
23295093,13085
23296256,13090
23297416,13089
23298578,13090
23299741,13089
23300902,13083
23302064,13075
23303224,13070
23304386,13063
23305547,13058
23306708,13052
23307870,13048
23309031,13044
23310192,13044
23311355,13046
23312516,13054
23313679,13073
23314839,13097
23316002,13114
23317162,13127
23318328,13137
23319485,13143
23320646,13145
23321808,13142
23322971,13143
23324133,13148
23325293,13149
23326455,13148
23327617,13136
23328778,13118
23329938,13104
23331100,13087
23332261,13078
23333422,13070
23334584,13064
23335746,13065
23336907,13070
23338068,13069
23339230,13070
23340398,13066
23341553,13065
23342716,13065
23343877,13059
23345037,13053
23346200,13041
23347361,13033
23348521,13027
23349683,13027
23350845,13035
23352010,13042
23353167,13051
23354329,13064
23355491,13080
23356654,13094
23357815,13108
23358976,13117
23360138,13124
23361299,13125
23362460,13126
23363621,13124
23364782,13115
23365944,13100
23367106,13085
23368267,13074
23369428,13071
23370590,13070
23371753,13073
23372914,13077
23374075,13087
23375237,13099
23376403,13113
23377560,13122
23378720,13129
23379882,13128
23381043,13124
23382205,13124
23383366,13121
23384533,13117
23385691,13114
23386852,13113
23388012,13110
23389173,13108
23390335,13106
23391498,13105
23392659,13101
23393819,13096
23394981,13095
23396142,13091
23397305,13091
23398465,13092
23399627,13088
23400790,13085
23401950,13084
23403111,13088
23404275,13094
23405434,13095
23406596,13097
23407757,13100
23408919,13101
23410081,13099
23411241,13094
23412404,13086
23413565,13077
23414726,13070
23415889,13068
23417050,13069
23418212,13073
23419372,13077
23420537,13079
23421696,13080
23422856,13082
23424019,13082
23425180,13081
23426341,13078
23427502,13070
23428664,13065
23429826,13062
23430988,13059
23432148,13057
23433309,13049
23434473,13044
23435633,13045
23436794,13047
23437956,13053
23439117,13058
23440279,13063
23441440,13063
23442601,13054
23443765,13043
23444924,13026
23446086,13009
23447248,12997
23448410,12990
23449572,12993
23450732,13000
23451894,13010
23453057,13015
23454216,13021
23455378,13028
23456539,13039
23457701,13046
23458864,13056
23460024,13064
23461187,13064
23462347,13055
23463510,13040
23464671,13027
23465831,13016
23466994,13006
23468155,12993
23469316,12984
23470477,12982
23471639,12983
23472800,12988
23473963,12993
23475124,12997
23476284,12999
23477448,13002
23478608,13007
23479770,13021
23480930,13037
23482092,13044
23483254,13041
23484415,13030
23485577,13010
23486742,12987
23487899,12963
23489065,12940
23490224,12923
23491386,12916
23492547,12920
23493708,12928
23494868,12936
23496030,12948
23497192,12958
23498353,12963
23499514,12967
23500676,12966
23501840,12969
23502999,12969
23504162,12963
23505322,12960
23506485,12952
23507646,12948
23508806,12947
23509968,12945
23511129,12943
23512291,12942
23513453,12945
23514614,12954
23515775,12959
23516936,12965
23518099,12971
23519261,12981
23520422,12990
23521584,12991
23522745,12989
23523905,12984
23525067,12973
23526229,12966
23527397,12963
23528551,12961
23529713,12959
23530874,12963
23532041,12967
23533198,12972
23534359,12981
23535522,12990
23536683,12998
23537844,13004
23539006,13003
23540167,12999
23541328,12995
23542489,12994
23543651,12995
23544814,12990
23545974,12979
23547136,12964
23548297,12949
23549460,12937
23550621,12934
23551782,12936
23552943,12941
23554105,12943
23555266,12945
23556427,12946
23557589,12946
23558750,12943
23559913,12933
23561073,12920
23562234,12906
23563399,12896
23564559,12884
23565719,12870
23566880,12861
23568042,12860
23569205,12862
23570366,12872
23571531,12887
23572688,12901
23573849,12915
23575011,12928
23576174,12940
23577334,12953
23578497,12966
23579658,12977
23580823,12974
23581980,12965
23583143,12953
23584305,12948
23585465,12951
23586626,12952
23587787,12950
23588949,12951
23590110,12967
23591271,12993
23592433,13020
23593596,13048
23594757,13068
23595918,13077
23597079,13073
23598242,13060
23599402,13044
23600563,13018
23601725,12990
23602887,12957
23604048,12928
23605210,12905
23606371,12885
23607536,12870
23608695,12862
23609856,12858
23611017,12857
23612179,12859
23613340,12870
23614501,12891
23615662,12914
23616825,12920
23617985,12920
23619147,12918
23620311,12914
23621470,12911
23622631,12915
23623794,12915
23624954,12915
23626118,12900
23627278,12872
23628440,12849
23629601,12836
23630763,12833
23631923,12832
23633085,12833
23634247,12836
23635408,12853
23636569,12889
23637732,12917
23638893,12916
23640054,12894
23641216,12869
23642377,12860
23643544,12879
23644705,12901
23645861,12898
23647022,12877
23648184,12859
23649345,12860
23650507,12861
23651668,12854
23652830,12856
23653991,12898
23655153,12962
23656314,12980
23657476,12960
23658637,12924
23659798,12898
23660960,12904
23662121,12923
23663283,12932
23664451,12938
23665610,12948
23666767,12949
23667929,12948
23669090,12954
23670253,13005
23671499,13151
23672575,13323
23673737,13358
23674898,13257
23676060,13107
23677221,12940
23678384,12781
23679545,12646
23680705,12575
23681869,12594
23683030,12715
23684191,12882
23685353,13025
23686513,13169
23687675,13310
23688837,13383
23689997,13365
23691159,13301
23692322,13215
23693481,13099
23694643,12980
23695806,12890
23696968,12814
23698128,12758
23699289,12729
23700452,12732
23701613,12754
23702775,12787
23703936,12818
23705096,12849
23706258,12905
23707420,13007
23708581,13183
23709742,13372
23710905,13435
23712067,13367
23713227,13206
23714392,13024
23715550,12857
23716711,12729
23717873,12633
23719034,12578
23720196,12564
23721357,12590
23722520,12652
23723682,12738
23724842,12807
23726004,12844
23727164,12866
23728326,12917
23729489,13013
23730651,13113
23731811,13151
23732972,13138
23734133,13116
23735295,13103
23736456,13093
23737618,13103
23738780,13088
23739943,13024
23741104,12935
23742266,12882
23743425,12879
23744588,12897
23745749,12897
23746910,12856
23748071,12799
23749233,12761
23750399,12758
23751556,12781
23752717,12806
23753881,12841
23755042,12893
23756202,12978
23757364,13071
23758526,13191
23759688,13318
23760851,13365
23762009,13323
23763172,13226
23764334,13103
23765494,12979
23766655,12883
23767819,12830
23768979,12817
23770139,12830
23771301,12861
23772464,12911
23773625,12975
23774787,13030
23775947,13076
23777109,13119
23778270,13151
23779431,13170
23780593,13170
23781754,13146
23782916,13135
23784079,13144
23785239,13153
23786403,13147
23787564,13150
23788724,13170
23789885,13184
23791046,13210
23792207,13284
23793369,13335
23794535,13298
23795693,13200
23796853,13099
23798017,13022
23799178,12972
23800339,12937
23801501,12923
23802663,12922
23803824,12929
23804984,12942
23806147,12948
23807306,12938
23808468,12936
23809630,12948
23810796,12959
23811955,12968
23813115,12975
23814276,12993
23815439,13027
23816600,13064
23817760,13101
