timestamp_us,channel_0
57781735,13393
57782896,13406
57784059,13426
57785219,13446
57786384,13465
57787542,13480
57788706,13486
57789865,13484
57791028,13477
57792189,13468
57793351,13460
57794512,13447
57795673,13429
57796834,13412
57797997,13396
57799157,13389
57800319,13385
57801482,13382
57802643,13384
57803804,13388
57804965,13392
57806126,13402
57807288,13419
57808449,13444
57809611,13477
57810772,13507
57811935,13524
57813097,13524
57814258,13511
57815420,13488
57816580,13461
57817742,13440
57818903,13429
57820064,13428
57821226,13436
57822388,13455
57823549,13476
57824710,13498
57825874,13522
57827035,13540
57828195,13553
57829357,13563
57830519,13569
57831680,13575
57832847,13577
57834002,13575
57835164,13559
57836326,13537
57837486,13508
57838648,13480
57839810,13456
57840973,13432
57842134,13419
57843295,13418
57844457,13429
57845617,13445
57846779,13462
57847940,13478
57849103,13493
57850263,13503
57851424,13516
57852586,13527
57853748,13536
57854909,13537
57856072,13534
57857232,13524
57858400,13512
57859556,13498
57860717,13484
57861878,13473
57863039,13464
57864201,13464
57865362,13470
57866523,13484
57867685,13505
57868849,13530
57870010,13555
57871170,13580
57872331,13602
57873494,13620
57874656,13636
57875816,13645
57876977,13649
57878139,13647
57879300,13633
57880467,13609
57881624,13588
57882784,13568
57883947,13546
57885109,13528
57886271,13517
57887432,13513
57888594,13516
57889754,13521
57890915,13530
57892077,13540
57893238,13549
57894404,13555
57895561,13561
57896723,13559
57897884,13549
57899046,13535
57900208,13511
57901370,13489
57902534,13475
57903693,13464
57904854,13458
57906016,13460
57907177,13466
57908337,13475
57909499,13488
57910660,13506
57911824,13530
57912985,13550
57914145,13567
57915307,13579
57916469,13586
57917630,13583
57918791,13571
57919952,13561
57921114,13550
57922275,13539
57923436,13527
57924598,13519
57925759,13514
57926923,13513
57928084,13513
57929249,13514
57930407,13517
57931567,13513
57932730,13505
57933891,13500
57935052,13484
57936216,13458
57937375,13430
57938539,13403
57939700,13380
57940860,13363
57942022,13356
57943182,13357
57944345,13361
57945506,13368
57946668,13376
57947829,13390
57948989,13415
57950152,13451
57951313,13487
57952475,13518
57953636,13538
57954797,13546
57955960,13546
57957122,13541
57958281,13529
57959445,13518
57960606,13504
57961767,13491
57962927,13478
57964090,13463
57965250,13447
57966412,13444
57967573,13447
57968735,13462
57969897,13483
57971058,13506
57972221,13527
57973381,13539
57974543,13544
57975706,13545
57976866,13527
57978032,13503
57979189,13476
57980351,13445
57981512,13417
57982673,13395
57983835,13377
57984997,13365
57986157,13360
57987319,13365
57988482,13381
57989643,13403
57990803,13424
57991965,13447
57993126,13470
57994288,13489
57995450,13509
57996611,13530
57997774,13558
57998936,13583
58000096,13608
58001257,13630
58002419,13650
58003581,13657
58004742,13653
58005904,13637
58007064,13613
58008226,13578
58009388,13536
58010549,13500
58011710,13474
58012876,13463
58014035,13460
58015195,13460
58016356,13454
58017519,13448
58018680,13445
58019841,13441
58021004,13435
58022164,13429
58023326,13417
58024486,13407
58025648,13401
58026812,13401
58027973,13411
58029135,13426
58030296,13447
58031457,13464
58032617,13475
58033779,13474
58034940,13465
58036102,13452
58037263,13438
58038424,13432
58039586,13427
58040748,13425
58041909,13426
58043071,13434
58044232,13447
58045400,13462
58046556,13482
58047716,13507
58048878,13527
58050039,13547
58051201,13562
58052364,13572
58053524,13579
58054686,13581
58055846,13579
58057010,13573
58058170,13558
58059331,13541
58060497,13517
58061655,13500
58062817,13482
58063977,13467
58065139,13455
58066300,13443
58067463,13439
58068624,13436
58069785,13439
58070948,13449
58072109,13462
58073270,13481
58074432,13498
58075594,13505
58076755,13499
58077917,13485
58079077,13467
58080239,13449
58081403,13439
58082562,13435
58083723,13436
58084886,13443
58086047,13452
58087208,13470
58088370,13495
58089534,13520
58090693,13536
58091853,13548
58093014,13558
58094177,13562
58095337,13567
58096499,13562
58097660,13549
58098824,13527
58099985,13507
58101145,13490
58102307,13479
58103469,13468
58104630,13461
58105791,13462
58106953,13476
58108115,13498
58109276,13521
58110437,13544
58111604,13561
58112761,13572
58113923,13577
58115084,13580
58116247,13580
58117407,13583
58118568,13585
58119730,13588
58120891,13589
58122053,13587
58123214,13582
58124375,13577
58125539,13578
58126698,13578
58127861,13580
58129023,13584
58130184,13595
58131345,13607
58132507,13614
58133668,13617
58134828,13616
58135991,13615
58137151,13609
58138314,13598
58139474,13580
58140636,13557
58141797,13531
58142959,13516
58144120,13513
58145282,13519
58146443,13525
58147604,13532
58148766,13537
58149927,13550
58151089,13567
58152250,13589
58153412,13604
58154573,13607
58155740,13599
58156896,13583
58158058,13565
58159222,13545
58160384,13525
58161545,13508
58162704,13500
58163865,13495
58165027,13493
58166188,13493
58167350,13496
58168511,13504
58169674,13517
58170836,13532
58171998,13553
58173158,13578
58174320,13599
58175481,13615
58176643,13629
58177804,13641
58178965,13645
58180126,13644
58181289,13634
58182450,13620
58183611,13605
58184774,13590
58185934,13574
58187096,13568
58188257,13571
58189419,13583
58190581,13598
58191741,13609
58192908,13619
58194064,13628
58195226,13640
58196390,13648
58197549,13656
58198710,13654
58199874,13640
58201034,13620
58202196,13601
58203357,13586
58204519,13571
58205680,13557
58206842,13550
58208002,13554
58209164,13565
58210326,13580
58211487,13594
58212650,13616
58213810,13636
58214972,13654
58216134,13670
58217294,13677
58218457,13676
58219618,13669
58220779,13662
58221940,13654
58223102,13647
58224263,13645
58225424,13643
58226586,13643
58227749,13645
58228911,13643
58230071,13648
58231234,13656
58232399,13663
58233556,13669
58234717,13681
58235878,13692
58237040,13703
58238201,13707
58239363,13703
58240524,13686
58241687,13666
58242847,13642
58244009,13625
58245171,13608
58246333,13602
58247494,13604
58248655,13615
58249816,13636
58250978,13656
58252140,13680
58253301,13698
58254462,13714
58255623,13723
58256787,13723
58257948,13711
58259109,13690
58260271,13667
58261433,13640
58262593,13614
58263754,13591
58264916,13573
58266077,13568
58267238,13578
58268400,13597
58269561,13624
58270725,13652
58271886,13678
58273047,13699
58274209,13708
58275370,13707
58276535,13700
58277693,13689
58278853,13667
58280015,13643
58281176,13616
58282338,13593
58283499,13574
58284661,13560
58285823,13548
58286986,13538
58288147,13531
58289307,13536
58290470,13549
58291632,13563
58292791,13577
58293954,13590
58295115,13604
58296277,13622
58297440,13635
58298601,13636
58299761,13625
58300923,13608
58302084,13581
58303247,13550
58304407,13521
58305568,13498
58306730,13484
58307892,13475
58309052,13473
58310214,13489
58311376,13515
58312541,13542
58313700,13569
58314861,13591
58316022,13604
58317184,13608
58318347,13605
58319506,13594
58320667,13586
58321829,13581
58322990,13577
58324152,13577
58325315,13578
58326475,13575
58327636,13572
58328803,13566
58329960,13562
58331122,13562
58332282,13570
58333445,13579
58334606,13585
58335768,13587
58336929,13578
58338090,13560
58339252,13539
58340413,13515
58341574,13494
58342737,13478
58343899,13469
58345059,13476
58346221,13492
58347382,13509
58348543,13526
58349706,13547
58350867,13562
58352028,13580
58353190,13591
58354352,13601
58355512,13607
58356674,13604
58357837,13594
58358998,13582
58360159,13573
58361321,13567
58362482,13570
58363642,13569
58364805,13566
58365965,13561
58367129,13554
58368289,13551
58369450,13557
58370612,13568
58371773,13583
58372936,13603
58374097,13628
58375257,13653
58376424,13674
58377581,13685
58378750,13687
58379904,13682
58381065,13672
58382228,13663
58383390,13658
58384550,13655
58385713,13654
58386873,13661
58388034,13675
58389196,13694
58390357,13715
58391519,13740
58392680,13765
58393842,13781
58395003,13785
58396165,13784
58397326,13774
58398490,13760
58399650,13738
58400812,13710
58401972,13671
58403134,13631
58404295,13593
58405458,13561
58406618,13539
58407780,13524
58408941,13514
58410102,13506
58411264,13508
58412425,13519
58413586,13538
58414750,13557
58415911,13576
58417071,13592
58418233,13603
58419400,13615
58420556,13623
58421719,13629
58422880,13632
58424041,13622
58425202,13600
58426364,13566
58427525,13526
58428688,13487
58429849,13459
58431010,13442
58432172,13438
58433334,13447
58434494,13466
58435655,13495
58436818,13523
58437978,13550
58439140,13569
58440301,13574
58441462,13565
58442624,13553
58443787,13536
58444949,13527
58446109,13526
58447271,13535
58448432,13546
58449594,13556
58450754,13562
58451916,13564
58453077,13573
58454239,13586
58455403,13602
58456562,13612
58457729,13616
58458885,13613
58460046,13603
58461210,13588
58462371,13568
