timestamp_us,channel_0
49278857,13503
49280018,13505
49281180,13498
49282341,13477
49283502,13454
49284663,13440
49285825,13428
49286987,13419
49288150,13410
49289309,13408
49290473,13409
49291633,13415
49292795,13423
49293957,13432
49295117,13441
49296280,13449
49297440,13449
49298602,13444
49299763,13433
49300927,13422
49302088,13409
49303250,13401
49304411,13391
49305572,13385
49306733,13384
49307894,13392
49309056,13409
49310217,13430
49311378,13453
49312539,13471
49313701,13487
49314863,13493
49316026,13495
49317186,13489
49318349,13478
49319510,13466
49320672,13450
49321832,13435
49322994,13415
49324156,13400
49325316,13392
49326478,13390
49327640,13394
49328800,13406
49329963,13418
49331123,13440
49332285,13461
49333447,13481
49334610,13493
49335769,13499
49336931,13505
49338093,13511
49339254,13509
49340416,13494
49341577,13471
49342741,13450
49343902,13433
49345063,13425
49346223,13424
49347387,13428
49348547,13435
49349708,13444
49350869,13458
49352031,13478
49353192,13498
49354353,13517
49355516,13539
49356677,13564
49357838,13582
49359001,13591
49360163,13595
49361324,13596
49362485,13585
49363647,13569
49364807,13549
49365969,13530
49367131,13511
49368292,13498
49369453,13493
49370615,13497
49371776,13506
49372939,13519
49374100,13537
49375264,13553
49376424,13563
49377590,13572
49378746,13573
49379907,13564
49381069,13548
49382231,13526
49383397,13501
49384553,13477
49385715,13455
49386877,13437
49388039,13428
49389201,13430
49390360,13441
49391523,13463
49392684,13492
49393845,13522
49395007,13553
49396168,13576
49397329,13593
49398491,13598
49399652,13595
49400816,13589
49401976,13580
49403138,13566
49404298,13549
49405460,13530
49406622,13513
49407782,13503
49408944,13501
49410105,13498
49411267,13502
49412429,13508
49413590,13517
49414752,13531
49415913,13548
49417075,13568
49418236,13583
49419399,13588
49420559,13585
49421721,13564
49422884,13531
49424044,13492
49425206,13456
49426367,13425
49427532,13402
49428691,13392
49429853,13393
49431013,13404
49432174,13424
49433336,13448
49434497,13470
49435659,13495
49436821,13519
49437982,13539
49439144,13546
49440305,13542
49441467,13535
49442628,13523
49443790,13511
49444952,13499
49446112,13494
49447274,13490
49448436,13488
49449597,13489
49450759,13493
49451920,13502
49453083,13514
49454243,13528
49455404,13542
49456565,13557
49457729,13570
49458890,13583
